DBN,Year,Number Tested,Level 1 %,Level 2 %,Level 3 %,Level 4 %,Level 3+4 %
02M312,2007,563,0.2,3.6,30,66.3,96.3
02M312,2008,529,0.2,1.7,24.8,73.3,98.1
02M312,2009,537,0.2,0.9,22.7,76.2,98.9
02M312,2010,537,0.4,4.1,20.5,75,95.5
02M312,2011,546,0.4,2,13.7,83.9,97.6
02M347,2006,56,50,21.4,26.8,1.8,28.6
02M347,2007,40,15,45,37.5,2.5,40
02M347,2008,42,14.3,23.8,59.5,2.4,61.9
02M347,2009,44,2.3,29.5,61.4,6.8,68.2
02M347,2010,52,21.2,53.8,17.3,7.7,25
02M347,2011,52,11.5,38.5,34.6,15.4,50
02M407,2006,170,12.4,40.6,46.5,0.6,47.1
02M407,2007,151,5.3,38.4,54.3,2,56.3
02M407,2008,156,1.9,24.4,61.5,12.2,73.7
02M407,2009,180,0.6,11.7,70,17.8,87.8
02M407,2010,219,3.7,37,45.7,13.7,59.4
02M407,2011,219,0.5,25.1,48.9,25.6,74.4
02M408,2006,76,1.3,34.2,52.6,11.8,64.5
02M408,2007,74,1.4,14.9,71.6,12.2,83.8
02M408,2008,75,0,5.3,62.7,32,94.7
02M408,2009,71,0,5.6,60.6,33.8,94.4
02M408,2010,80,0,5,51.3,43.8,95
02M408,2011,80,0,8.8,42.5,48.8,91.3
02M413,2006,284,4.6,33.5,55.3,6.7,62
02M413,2007,279,1.1,22.6,62,14.3,76.3
02M413,2008,265,0.4,10.2,68.7,20.8,89.4
02M413,2009,272,0.4,5.1,58.1,36.4,94.5
02M413,2010,276,0.4,16.7,46,37,83
02M413,2011,271,0.7,9.2,43.9,46.1,90
02M422,2010,63,7.9,42.9,41.3,7.9,49.2
02M422,2011,118,6.8,23.7,39.8,29.7,69.5
02M442,2006,144,0.7,15.3,64.6,19.4,84
02M442,2007,142,0.7,4.9,62,32.4,94.4
02M442,2008,144,0,2.1,55.6,42.4,97.9
02M442,2009,137,0,0.7,45.3,54,99.3
02M442,2010,140,0.7,15,42.9,41.4,84.3
02M442,2011,140,0.7,12.1,45.7,41.4,87.1
02M655,2006,107,11.2,36.4,50.5,1.9,52.3
02M655,2007,150,2,31.3,65.3,1.3,66.7
02M655,2008,134,3,29.1,59.7,8.2,67.9
02M655,2009,126,1.6,19.8,69.8,8.7,78.6
02M655,2010,114,15.8,57,24.6,2.6,27.2
02M655,2011,95,11.6,53.7,30.5,4.2,34.7
02M896,2006,190,10.5,37.4,48.4,3.7,52.1
02M896,2007,193,4.7,29.5,59.1,6.7,65.8
02M896,2008,190,1.6,18.4,71.1,8.9,80
02M896,2009,189,0.5,13.2,73,13.2,86.2
02M896,2010,183,3.3,48.1,37.2,11.5,48.6
02M896,2011,215,4.2,40,36.3,19.5,55.8
03M009,2006,187,2.1,7.5,47.1,43.3,90.4
03M009,2007,198,0,3.5,41.9,54.5,96.5
03M009,2008,212,0,0.9,35.4,63.7,99.1
03M009,2009,211,0.5,0,33.2,66.4,99.5
03M009,2010,223,0,12.6,30,57.4,87.4
03M009,2011,242,0,5,28.5,66.5,95
03M044,2006,467,27.2,46.3,25.3,1.3,26.6
03M044,2007,441,18.8,52.8,27.2,1.1,28.3
03M044,2008,361,16.6,45.7,35.2,2.5,37.7
03M044,2009,250,4.8,34.8,57.2,3.2,60.4
03M044,2010,135,14.1,41.5,31.9,12.6,44.4
03M044,2011,59,5.1,44.1,44.1,6.8,50.8
03M054,2006,1003,17.2,20.9,31.1,30.7,61.8
03M054,2007,898,10,17.4,31.1,41.5,72.6
03M054,2008,807,6.2,12.9,35.7,45.2,80.9
03M054,2009,765,2,9.3,34.4,54.4,88.8
03M054,2010,784,4.7,14.2,26.9,54.2,81.1
03M054,2011,817,4.2,11.4,20.3,64.1,84.5
03M075,2006,463,6.3,14.3,51.8,27.6,79.5
03M075,2007,437,3,16,58.8,22.2,81
03M075,2008,410,1.7,9.8,64.1,24.4,88.5
03M075,2009,408,1.2,11.8,62.3,24.8,87
03M075,2010,398,5.3,42,33.7,19.1,52.8
03M075,2011,349,5.2,37.5,37.2,20.1,57.3
03M076,2006,177,22,30.5,40.1,7.3,47.5
03M076,2007,176,9.1,30.1,54,6.8,60.8
03M076,2008,169,8.3,28.4,59.2,4.1,63.3
03M076,2009,137,2.9,17.5,70.1,9.5,79.6
03M076,2010,199,18.6,54.3,20.6,6.5,27.1
03M076,2011,249,9.6,43.4,37.8,9.2,47
03M084,2006,240,10,26.7,51.7,11.7,63.3
03M084,2007,206,3.4,25.7,58.3,12.6,70.9
03M084,2008,165,3.6,18.8,66.7,10.9,77.6
03M084,2009,162,1.9,12.3,75.3,10.5,85.8
03M084,2010,162,8,49.4,35.2,7.4,42.6
03M084,2011,175,3.4,45.1,43.4,8,51.4
03M087,2006,455,3.3,11.2,51.4,34.1,85.5
03M087,2007,395,1.3,7.1,56.2,35.4,91.6
03M087,2008,395,0.3,4.3,54.9,40.5,95.4
03M087,2009,389,0,3.1,48.1,48.8,96.9
03M087,2010,407,1,18.2,37.8,43,80.8
03M087,2011,432,0.7,12.5,46.5,40.3,86.8
03M145,2006,305,15.7,28.5,44.9,10.8,55.7
03M145,2007,237,9.7,24.5,49.4,16.5,65.8
03M145,2008,213,5.6,17.8,65.3,11.3,76.5
03M145,2009,198,5.1,12.6,67.7,14.6,82.3
03M145,2010,208,12,43.3,30.3,14.4,44.7
